# id	left	top	right	bottom	texture_id
[SPRITES]
#Small_Bush
127001	375	324	390	339	60

#Big_Bush
127002	307	341	322	356	60
127003	324	341	339	356	60
127004	307	324	322	339	60
127005	324	324	339	339	60
127006	341	324	356	339	60

127007	307	307	322	322	60
127008	324	307	339	322	60


#cloud
127100	723	9	730	16	60
127101	732	2	747	16	60
127102	749	9	756	16	60
127103	724	18	730	22	60
127104	732	18	747	25	60
127105	749	18	754	23	60


#under_colorbox
#Pink
161004	919	154	934	169	60
161005	936	154	951	169	60
161006	953	154	968	169	60

161007	919	171	934	186	60
161008	936	171	951	186	60
161009	953	171	968	186	60

#Blue
162004	970	154	985	169	60
162005	987	154	1002	169	60
162006	1004	154	1019	169	60

162007	970	171	985	186	60
162008	987	171	1002	186	60
162009	1004	171	1019	186	60

#Green
163004	919	205	934	220	60
163005	936	205	951	220	60
163006	953	205	968	220	60

163007	919	222	934	237	60
163008	936	222	951	237	60
163009	953	222	968	237	60

#White
164004	970	205	985	220	60
164005	987	205	1002	220	60
164006	1004	205	1019	220	60

164007	970	222	985	237	60
164008	987	222	1002	237	60
164009	1004	222	1019	237	60

164010	48	48	0	0	10
# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]
