# id	left	top	right	bottom	texture_id
[SPRITES]
1	0	0	0	0	60
91000	443	154	458	169	60
92000	460	154	475	169	60
93000	477	154	492	169	60

94000	443	171	458	186	60
95000	460	171	475	186	60
96000	477	171	492	186	60

#border map
96001	321	510	328	517	100
96002	330	510	337	517	100
96003	339	510	346	517	100

96004	321	492	328	499	100
96005	339	492	346	499	100
96006	321	501	328	508	100

# 2 cai thanh ngang va doc
96007	4	236	19	241	100
96008	30	227	35	242	100

# thanh ngang co cai cuc va thanh doc co cai cuc
96009	55	235	70	242	100
96010	80	227	87	242	100
96011	89	227	104	242	100

# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]
