# id	left	top	right	bottom	texture_id
[SPRITES]
#FONT A
77441	177	31	184	38	90

#FONT B
77442	187	31	194	38	90

#FONT C
77443	77	41	84	48	90

#FONT D
77444	87	41	94	48	90

#FONT E
77445	97	41	104	48	90

#FONT F
77446	107	41	114	48	90

#FONT G
77447	117	41	124	48	90

#FONT H
77448	127	41	134	48	90

#FONT I
77449	137	41	144	48	90

#FONT J
77450	147	41	154	48	90

#FONT K
77451	157	41	164	48	90

#FONT L
77452	167	41	174	48	90

#FONT M
77453	177	41	184	48	90

#FONT N
77454	187	41	194	48	90

#FONT O
77455	77	51	84	58	90

#FONT P
77456	87	51	94	58	90

#FONT Q
77457	97	51	104	58	90

#FONT R
77458	107	51	114	58	90

#FONT S
77459	117	51	124	58	90

#FONT T
77460	127	51	134	58	90

#FONT U
77461	137	51	144	58	90

#FONT V
77462	147	51	154	58	90

#FONT W
77463	157	51	164	58	90

#FONT X
77464	167	51	174	58	90

#FONT Y
77465	177	51	184	58	90

#FONT Z
77466	187	51	194	58	90

#FONT SPACE
77467	77	61	84	68	90

#FONT !
77468	87	61	94	68	90
# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]
